V_gen,V_med1,V_med2
1.649,355.0,356.0
1.651,359.0,360.0
1.654,364.0,364.0
1.656,366.0,370.0
1.659,366.0,367.0
1.661,368.0,371.0
1.663,370.0,368.0
1.666,370.0,373.0
1.668,368.0,367.0
1.671,367.0,367.0
1.673,366.0,362.0
1.676,360.0,359.0
1.678,362.0,359.0
1.681,359.0,364.0
1.683,362.0,365.0
1.685,363.0,366.0
1.688,362.0,364.0
1.69,363.0,364.0
1.693,364.0,366.0
1.695,368.0,367.0
1.698,368.0,365.0
1.7,369.0,369.0
1.702,377.0,372.0
1.705,372.0,374.0
1.707,374.0,380.0
1.71,383.0,375.0
1.712,378.0,378.0
1.715,382.0,376.0
1.717,381.0,380.0
1.72,377.0,375.0
1.722,374.0,376.0
1.724,370.0,374.0
1.727,374.0,370.0
1.729,368.0,373.0
1.732,372.0,369.0
1.734,374.0,370.0
1.737,373.0,373.0
1.739,376.0,376.0
1.742,373.0,374.0
1.744,378.0,378.0
1.746,383.0,383.0
1.749,387.0,385.0
1.751,386.0,386.0
1.754,389.0,389.0
1.756,390.0,392.0
1.759,393.0,392.0
1.761,387.0,385.0
1.764,387.0,386.0
1.766,386.0,382.0
1.768,380.0,382.0
1.771,385.0,384.0
1.773,381.0,378.0
1.776,382.0,381.0
1.778,381.0,381.0
1.781,381.0,387.0
1.783,384.0,384.0
1.786,386.0,387.0
1.788,388.0,389.0
1.79,389.0,391.0
1.793,397.0,396.0
1.795,400.0,394.0
1.798,400.0,399.0
1.8,397.0,400.0
1.803,397.0,395.0
1.805,400.0,398.0
1.808,398.0,395.0
1.81,395.0,393.0
1.812,392.0,390.0
1.815,393.0,393.0
1.817,392.0,392.0
1.82,391.0,387.0
1.822,392.0,389.0
1.825,392.0,392.0
1.827,395.0,390.0
1.83,392.0,397.0
1.832,395.0,396.0
1.834,399.0,405.0
1.837,403.0,405.0
1.839,408.0,405.0
1.842,409.0,409.0
1.844,407.0,408.0
1.847,410.0,407.0
1.849,405.0,408.0
1.851,407.0,403.0
1.854,400.0,400.0
1.856,399.0,399.0
1.859,399.0,400.0
1.861,403.0,400.0
1.864,398.0,397.0
1.866,404.0,402.0
1.869,400.0,403.0
1.871,401.0,405.0
1.873,406.0,409.0
1.876,408.0,408.0
1.878,408.0,413.0
1.881,412.0,418.0
1.883,414.0,418.0
1.886,416.0,420.0
1.888,416.0,421.0
1.891,417.0,418.0
1.893,416.0,418.0
1.895,415.0,417.0
1.898,410.0,408.0
1.9,411.0,410.0
1.903,414.0,408.0
1.905,407.0,408.0
1.908,407.0,412.0
1.91,408.0,410.0
1.913,412.0,410.0
1.915,410.0,414.0
1.917,415.0,416.0
1.92,418.0,420.0
1.922,423.0,423.0
1.925,421.0,428.0
1.927,425.0,425.0
1.93,429.0,429.0
1.932,429.0,424.0
1.935,427.0,424.0
1.937,424.0,424.0
1.939,426.0,420.0
1.942,422.0,419.0
1.944,422.0,424.0
1.947,417.0,420.0
1.949,421.0,422.0
1.952,421.0,419.0
1.954,422.0,421.0
1.957,418.0,422.0
1.959,423.0,420.0
1.961,422.0,427.0
1.964,422.0,429.0
1.966,424.0,428.0
1.969,432.0,431.0
1.971,431.0,437.0
1.974,435.0,435.0
1.976,434.0,444.0
1.979,439.0,435.0
1.981,434.0,434.0
1.983,437.0,436.0
1.986,432.0,434.0
1.988,434.0,431.0
1.991,428.0,433.0
1.993,431.0,426.0
1.996,431.0,430.0
1.998,430.0,429.0
2.0,428.0,430.0
2.003,431.0,434.0
2.005,436.0,434.0
2.008,437.0,436.0
2.01,434.0,438.0
2.013,441.0,444.0
2.015,441.0,446.0
2.018,446.0,446.0
2.02,450.0,448.0
2.022,450.0,449.0
2.025,447.0,445.0
2.027,446.0,443.0
2.03,448.0,441.0
2.032,444.0,446.0
2.035,444.0,441.0
2.037,443.0,441.0
2.04,442.0,438.0
2.042,438.0,441.0
2.044,443.0,438.0
2.047,439.0,440.0
2.049,440.0,440.0
2.052,447.0,450.0
2.054,448.0,448.0
2.057,451.0,453.0
2.059,456.0,455.0
2.062,454.0,459.0
2.064,455.0,455.0
2.066,459.0,460.0
2.069,461.0,461.0
2.071,459.0,457.0
2.074,458.0,451.0
2.076,455.0,458.0
2.079,452.0,448.0
2.081,448.0,448.0
2.084,448.0,449.0
2.086,450.0,450.0
2.088,452.0,450.0
2.091,448.0,449.0
2.093,455.0,450.0
2.096,453.0,452.0
2.098,457.0,457.0
2.101,461.0,462.0
2.103,464.0,465.0
2.106,466.0,470.0
2.108,466.0,473.0
2.11,469.0,469.0
2.113,467.0,471.0
2.115,470.0,469.0
2.118,464.0,461.0
2.12,463.0,462.0
2.123,460.0,459.0
2.125,463.0,461.0
2.128,461.0,461.0
2.13,462.0,467.0
2.132,463.0,460.0
2.135,463.0,463.0
2.137,460.0,464.0
2.14,460.0,466.0
2.142,464.0,465.0
2.145,472.0,469.0
2.147,471.0,473.0
2.149,474.0,475.0
2.152,472.0,479.0
2.154,480.0,473.0
2.157,481.0,476.0
2.159,473.0,476.0
2.162,477.0,477.0
2.164,472.0,470.0
2.167,475.0,469.0
2.169,470.0,475.0
2.171,470.0,471.0
2.174,469.0,466.0
2.176,468.0,476.0
2.179,472.0,470.0
2.181,469.0,472.0
2.184,470.0,473.0
2.186,472.0,476.0
2.189,474.0,474.0
2.191,478.0,479.0
2.193,479.0,484.0
2.196,483.0,485.0
2.198,485.0,483.0
2.201,490.0,485.0
2.203,491.0,492.0
2.206,489.0,487.0
2.208,487.0,487.0
2.211,482.0,485.0
2.213,485.0,484.0
2.215,484.0,487.0
2.218,483.0,481.0
2.22,480.0,481.0
2.223,481.0,481.0
2.225,483.0,480.0
2.228,485.0,483.0
2.23,481.0,480.0
2.233,485.0,480.0
2.235,482.0,485.0
2.237,491.0,485.0
2.24,485.0,487.0
2.242,491.0,494.0
2.245,495.0,492.0
2.247,492.0,496.0
2.25,498.0,500.0
2.252,494.0,495.0
2.255,499.0,496.0
2.257,493.0,495.0
2.259,499.0,493.0
2.262,491.0,490.0
2.264,491.0,490.0
2.267,491.0,490.0
2.269,494.0,490.0
2.272,491.0,492.0
2.274,495.0,491.0
2.277,490.0,493.0
2.279,490.0,494.0
2.281,495.0,492.0
2.284,494.0,494.0
2.286,494.0,495.0
2.289,499.0,500.0
2.291,498.0,501.0
2.294,500.0,505.0
2.296,508.0,509.0
2.298,509.0,508.0
2.301,513.0,511.0
2.303,510.0,510.0
2.306,510.0,508.0
2.308,509.0,507.0
2.311,506.0,507.0
2.313,501.0,500.0
2.316,508.0,504.0
2.318,506.0,503.0
2.32,506.0,502.0
2.323,504.0,500.0
2.325,500.0,498.0
2.328,499.0,504.0
2.33,505.0,504.0
2.333,502.0,504.0
2.335,510.0,509.0
2.338,506.0,510.0
2.34,510.0,509.0
2.342,513.0,516.0
2.345,517.0,514.0
2.347,515.0,521.0
2.35,520.0,523.0
2.352,520.0,521.0
2.355,519.0,516.0
2.357,523.0,520.0
2.36,518.0,518.0
2.362,514.0,516.0
2.364,511.0,517.0
2.367,516.0,511.0
2.369,514.0,514.0
2.372,510.0,513.0
2.374,510.0,514.0
2.377,513.0,515.0
2.379,513.0,511.0
2.382,517.0,513.0
2.384,514.0,516.0
2.386,515.0,523.0
2.389,516.0,522.0
2.391,522.0,527.0
2.394,526.0,526.0
2.396,525.0,528.0
2.399,530.0,530.0
2.401,529.0,532.0
2.404,533.0,529.0
2.406,532.0,529.0
2.408,533.0,530.0
2.411,528.0,525.0
2.413,527.0,523.0
2.416,527.0,525.0
2.418,528.0,527.0
2.421,523.0,523.0
2.423,525.0,528.0
2.426,521.0,522.0
2.428,521.0,524.0
2.43,523.0,526.0
2.433,527.0,533.0
2.435,529.0,535.0
2.438,531.0,531.0
2.44,533.0,536.0
2.443,537.0,536.0
2.445,537.0,540.0
2.447,541.0,536.0
2.45,544.0,542.0
2.452,546.0,542.0
2.455,540.0,540.0
2.457,541.0,540.0
2.46,543.0,538.0
2.462,539.0,539.0
2.465,543.0,535.0
2.467,540.0,538.0
2.469,537.0,534.0
2.472,533.0,536.0
2.474,540.0,538.0
2.477,538.0,540.0
2.479,537.0,533.0
2.482,538.0,538.0
2.484,539.0,539.0
2.487,541.0,541.0
2.489,539.0,538.0
2.491,546.0,548.0
2.494,546.0,547.0
2.496,543.0,548.0
